plate,county_code,intersection,interval_label,time_range,accidente_intersectie,accidente_vehicul,scor_judet,label_risk
AG12UIL,AG,Arcul de Triumf,Dimineata,06:30-09:30,15,6,7.5,0.682608695652174
AG12UIL,AG,Arcul de Triumf,Pranz,12:00-14:00,2,6,7.5,0.4
AG12UIL,AG,Arcul de Triumf,Seara,15:30-19:00,22,6,7.5,0.8347826086956522
AG12UIL,AG,Piata Romana,Dimineata,06:30-09:30,11,6,7.5,0.5956521739130435
AG12UIL,AG,Piata Romana,Pranz,12:00-14:00,3,6,7.5,0.4217391304347826
AG12UIL,AG,Piata Romana,Seara,15:30-19:00,20,6,7.5,0.791304347826087
AG12UIL,AG,Piata Unirii,Dimineata,06:30-09:30,15,6,7.5,0.682608695652174
AG12UIL,AG,Piata Unirii,Pranz,12:00-14:00,3,6,7.5,0.4217391304347826
AG12UIL,AG,Piata Unirii,Seara,15:30-19:00,18,6,7.5,0.7478260869565216
AG12UIL,AG,Piata Universitatii,Dimineata,06:30-09:30,5,6,7.5,0.4652173913043478
AG12UIL,AG,Piata Universitatii,Pranz,12:00-14:00,3,6,7.5,0.4217391304347826
AG12UIL,AG,Piata Universitatii,Seara,15:30-19:00,25,6,7.5,0.8999999999999999
BC06LKJ,BC,Arcul de Triumf,Dimineata,06:30-09:30,15,3,2.5,0.42876254180602
BC06LKJ,BC,Arcul de Triumf,Pranz,12:00-14:00,2,3,2.5,0.14615384615384613
BC06LKJ,BC,Arcul de Triumf,Seara,15:30-19:00,22,3,2.5,0.5809364548494984
BC06LKJ,BC,Piata Romana,Dimineata,06:30-09:30,11,3,2.5,0.34180602006688965
BC06LKJ,BC,Piata Romana,Pranz,12:00-14:00,3,3,2.5,0.16789297658862876
BC06LKJ,BC,Piata Romana,Seara,15:30-19:00,20,3,2.5,0.5374581939799331
BC06LKJ,BC,Piata Unirii,Dimineata,06:30-09:30,15,3,2.5,0.42876254180602
BC06LKJ,BC,Piata Unirii,Pranz,12:00-14:00,3,3,2.5,0.16789297658862876
BC06LKJ,BC,Piata Unirii,Seara,15:30-19:00,18,3,2.5,0.49397993311036786
BC06LKJ,BC,Piata Universitatii,Dimineata,06:30-09:30,5,3,2.5,0.21137123745819397
BC06LKJ,BC,Piata Universitatii,Pranz,12:00-14:00,3,3,2.5,0.16789297658862876
BC06LKJ,BC,Piata Universitatii,Seara,15:30-19:00,25,3,2.5,0.6461538461538461
BC99YCV,BC,Arcul de Triumf,Dimineata,06:30-09:30,15,2,2.5,0.3954292084726867
BC99YCV,BC,Arcul de Triumf,Pranz,12:00-14:00,2,2,2.5,0.11282051282051282
BC99YCV,BC,Arcul de Triumf,Seara,15:30-19:00,22,2,2.5,0.547603121516165
BC99YCV,BC,Piata Romana,Dimineata,06:30-09:30,11,2,2.5,0.3084726867335563
BC99YCV,BC,Piata Romana,Pranz,12:00-14:00,3,2,2.5,0.13455964325529543
BC99YCV,BC,Piata Romana,Seara,15:30-19:00,20,2,2.5,0.5041248606465998
BC99YCV,BC,Piata Unirii,Dimineata,06:30-09:30,15,2,2.5,0.3954292084726867
BC99YCV,BC,Piata Unirii,Pranz,12:00-14:00,3,2,2.5,0.13455964325529543
BC99YCV,BC,Piata Unirii,Seara,15:30-19:00,18,2,2.5,0.46064659977703454
BC99YCV,BC,Piata Universitatii,Dimineata,06:30-09:30,5,2,2.5,0.17803790412486065
BC99YCV,BC,Piata Universitatii,Pranz,12:00-14:00,3,2,2.5,0.13455964325529543
BC99YCV,BC,Piata Universitatii,Seara,15:30-19:00,25,2,2.5,0.6128205128205129
BH06ABI,BH,Arcul de Triumf,Dimineata,06:30-09:30,15,1,3.333,0.3877266443701226
BH06ABI,BH,Arcul de Triumf,Pranz,12:00-14:00,2,1,3.333,0.10511794871794872
BH06ABI,BH,Arcul de Triumf,Seara,15:30-19:00,22,1,3.333,0.5399005574136009
BH06ABI,BH,Piata Romana,Dimineata,06:30-09:30,11,1,3.333,0.30077012263099223
BH06ABI,BH,Piata Romana,Pranz,12:00-14:00,3,1,3.333,0.12685707915273134
BH06ABI,BH,Piata Romana,Seara,15:30-19:00,20,1,3.333,0.4964222965440357
BH06ABI,BH,Piata Unirii,Dimineata,06:30-09:30,15,1,3.333,0.3877266443701226
BH06ABI,BH,Piata Unirii,Pranz,12:00-14:00,3,1,3.333,0.12685707915273134
BH06ABI,BH,Piata Unirii,Seara,15:30-19:00,18,1,3.333,0.45294403567447045
BH06ABI,BH,Piata Universitatii,Dimineata,06:30-09:30,5,1,3.333,0.17033534002229656
BH06ABI,BH,Piata Universitatii,Pranz,12:00-14:00,3,1,3.333,0.12685707915273134
BH06ABI,BH,Piata Universitatii,Seara,15:30-19:00,25,1,3.333,0.6051179487179488
BH04LEU,BH,Arcul de Triumf,Dimineata,06:30-09:30,15,2,3.333,0.42105997770345593
BH04LEU,BH,Arcul de Triumf,Pranz,12:00-14:00,2,2,3.333,0.13845128205128204
BH04LEU,BH,Arcul de Triumf,Seara,15:30-19:00,22,2,3.333,0.5732338907469343
BH04LEU,BH,Piata Romana,Dimineata,06:30-09:30,11,2,3.333,0.33410345596432556
BH04LEU,BH,Piata Romana,Pranz,12:00-14:00,3,2,3.333,0.16019041248606466
BH04LEU,BH,Piata Romana,Seara,15:30-19:00,20,2,3.333,0.529755629877369
BH04LEU,BH,Piata Unirii,Dimineata,06:30-09:30,15,2,3.333,0.42105997770345593
BH04LEU,BH,Piata Unirii,Pranz,12:00-14:00,3,2,3.333,0.16019041248606466
BH04LEU,BH,Piata Unirii,Seara,15:30-19:00,18,2,3.333,0.4862773690078038
BH04LEU,BH,Piata Universitatii,Dimineata,06:30-09:30,5,2,3.333,0.20366867335562988
BH04LEU,BH,Piata Universitatii,Pranz,12:00-14:00,3,2,3.333,0.16019041248606466
BH04LEU,BH,Piata Universitatii,Seara,15:30-19:00,25,2,3.333,0.638451282051282
BN567BNM,BN,Arcul de Triumf,Dimineata,06:30-09:30,15,1,1.0,0.3159420289855072
BN567BNM,BN,Arcul de Triumf,Pranz,12:00-14:00,2,1,1.0,0.03333333333333333
BN567BNM,BN,Arcul de Triumf,Seara,15:30-19:00,22,1,1.0,0.4681159420289855
BN567BNM,BN,Piata Romana,Dimineata,06:30-09:30,11,1,1.0,0.2289855072463768
BN567BNM,BN,Piata Romana,Pranz,12:00-14:00,3,1,1.0,0.05507246376811594
BN567BNM,BN,Piata Romana,Seara,15:30-19:00,20,1,1.0,0.4246376811594203
BN567BNM,BN,Piata Unirii,Dimineata,06:30-09:30,15,1,1.0,0.3159420289855072
BN567BNM,BN,Piata Unirii,Pranz,12:00-14:00,3,1,1.0,0.05507246376811594
BN567BNM,BN,Piata Unirii,Seara,15:30-19:00,18,1,1.0,0.38115942028985506
BN567BNM,BN,Piata Universitatii,Dimineata,06:30-09:30,5,1,1.0,0.09855072463768116
BN567BNM,BN,Piata Universitatii,Pranz,12:00-14:00,3,1,1.0,0.05507246376811594
BN567BNM,BN,Piata Universitatii,Seara,15:30-19:00,25,1,1.0,0.5333333333333333
BH111BMM,BH,Arcul de Triumf,Dimineata,06:30-09:30,15,7,3.333,0.5877266443701226
BH111BMM,BH,Arcul de Triumf,Pranz,12:00-14:00,2,7,3.333,0.30511794871794873
BH111BMM,BH,Arcul de Triumf,Seara,15:30-19:00,22,7,3.333,0.7399005574136008
BH111BMM,BH,Piata Romana,Dimineata,06:30-09:30,11,7,3.333,0.5007701226309922
BH111BMM,BH,Piata Romana,Pranz,12:00-14:00,3,7,3.333,0.3268570791527313
BH111BMM,BH,Piata Romana,Seara,15:30-19:00,20,7,3.333,0.6964222965440356
BH111BMM,BH,Piata Unirii,Dimineata,06:30-09:30,15,7,3.333,0.5877266443701226
BH111BMM,BH,Piata Unirii,Pranz,12:00-14:00,3,7,3.333,0.3268570791527313
BH111BMM,BH,Piata Unirii,Seara,15:30-19:00,18,7,3.333,0.6529440356744705
BH111BMM,BH,Piata Universitatii,Dimineata,06:30-09:30,5,7,3.333,0.37033534002229657
BH111BMM,BH,Piata Universitatii,Pranz,12:00-14:00,3,7,3.333,0.3268570791527313
BH111BMM,BH,Piata Universitatii,Seara,15:30-19:00,25,7,3.333,0.8051179487179487
BT67UKR,BT,Arcul de Triumf,Dimineata,06:30-09:30,15,4,2.0,0.446711259754738
BT67UKR,BT,Arcul de Triumf,Pranz,12:00-14:00,2,4,2.0,0.1641025641025641
BT67UKR,BT,Arcul de Triumf,Seara,15:30-19:00,22,4,2.0,0.5988851727982163
BT67UKR,BT,Piata Romana,Dimineata,06:30-09:30,11,4,2.0,0.3597547380156076
BT67UKR,BT,Piata Romana,Pranz,12:00-14:00,3,4,2.0,0.18584169453734672
BT67UKR,BT,Piata Romana,Seara,15:30-19:00,20,4,2.0,0.5554069119286511
BT67UKR,BT,Piata Unirii,Dimineata,06:30-09:30,15,4,2.0,0.446711259754738
BT67UKR,BT,Piata Unirii,Pranz,12:00-14:00,3,4,2.0,0.18584169453734672
BT67UKR,BT,Piata Unirii,Seara,15:30-19:00,18,4,2.0,0.5119286510590858
BT67UKR,BT,Piata Universitatii,Dimineata,06:30-09:30,5,4,2.0,0.2293199554069119
BT67UKR,BT,Piata Universitatii,Pranz,12:00-14:00,3,4,2.0,0.18584169453734672
BT67UKR,BT,Piata Universitatii,Seara,15:30-19:00,25,4,2.0,0.6641025641025641
BT789JOC,BT,Arcul de Triumf,Dimineata,06:30-09:30,15,0,2.0,0.31337792642140466
BT789JOC,BT,Arcul de Triumf,Pranz,12:00-14:00,2,0,2.0,0.03076923076923077
BT789JOC,BT,Arcul de Triumf,Seara,15:30-19:00,22,0,2.0,0.46555183946488293
BT789JOC,BT,Piata Romana,Dimineata,06:30-09:30,11,0,2.0,0.22642140468227426
BT789JOC,BT,Piata Romana,Pranz,12:00-14:00,3,0,2.0,0.05250836120401338
BT789JOC,BT,Piata Romana,Seara,15:30-19:00,20,0,2.0,0.42207357859531774
BT789JOC,BT,Piata Unirii,Dimineata,06:30-09:30,15,0,2.0,0.31337792642140466
BT789JOC,BT,Piata Unirii,Pranz,12:00-14:00,3,0,2.0,0.05250836120401338
BT789JOC,BT,Piata Unirii,Seara,15:30-19:00,18,0,2.0,0.3785953177257525
BT789JOC,BT,Piata Universitatii,Dimineata,06:30-09:30,5,0,2.0,0.0959866220735786
BT789JOC,BT,Piata Universitatii,Pranz,12:00-14:00,3,0,2.0,0.05250836120401338
BT789JOC,BT,Piata Universitatii,Seara,15:30-19:00,25,0,2.0,0.5307692307692308
BR12ACM,BR,Arcul de Triumf,Dimineata,06:30-09:30,15,3,3.5,0.4595317725752508
BR12ACM,BR,Arcul de Triumf,Pranz,12:00-14:00,2,3,3.5,0.1769230769230769
BR12ACM,BR,Arcul de Triumf,Seara,15:30-19:00,22,3,3.5,0.6117056856187291
BR12ACM,BR,Piata Romana,Dimineata,06:30-09:30,11,3,3.5,0.3725752508361204
BR12ACM,BR,Piata Romana,Pranz,12:00-14:00,3,3,3.5,0.19866220735785953
BR12ACM,BR,Piata Romana,Seara,15:30-19:00,20,3,3.5,0.5682274247491639
BR12ACM,BR,Piata Unirii,Dimineata,06:30-09:30,15,3,3.5,0.4595317725752508
BR12ACM,BR,Piata Unirii,Pranz,12:00-14:00,3,3,3.5,0.19866220735785953
BR12ACM,BR,Piata Unirii,Seara,15:30-19:00,18,3,3.5,0.5247491638795987
BR12ACM,BR,Piata Universitatii,Dimineata,06:30-09:30,5,3,3.5,0.24214046822742474
BR12ACM,BR,Piata Universitatii,Pranz,12:00-14:00,3,3,3.5,0.19866220735785953
BR12ACM,BR,Piata Universitatii,Seara,15:30-19:00,25,3,3.5,0.676923076923077
BR34AUN,BR,Arcul de Triumf,Dimineata,06:30-09:30,15,4,3.5,0.4928651059085842
BR34AUN,BR,Arcul de Triumf,Pranz,12:00-14:00,2,4,3.5,0.21025641025641026
BR34AUN,BR,Arcul de Triumf,Seara,15:30-19:00,22,4,3.5,0.6450390189520625
BR34AUN,BR,Piata Romana,Dimineata,06:30-09:30,11,4,3.5,0.40590858416945375
BR34AUN,BR,Piata Romana,Pranz,12:00-14:00,3,4,3.5,0.23199554069119288
BR34AUN,BR,Piata Romana,Seara,15:30-19:00,20,4,3.5,0.6015607580824973
BR34AUN,BR,Piata Unirii,Dimineata,06:30-09:30,15,4,3.5,0.4928651059085842
BR34AUN,BR,Piata Unirii,Pranz,12:00-14:00,3,4,3.5,0.23199554069119288
BR34AUN,BR,Piata Unirii,Seara,15:30-19:00,18,4,3.5,0.5580824972129319
BR34AUN,BR,Piata Universitatii,Dimineata,06:30-09:30,5,4,3.5,0.27547380156075807
BR34AUN,BR,Piata Universitatii,Pranz,12:00-14:00,3,4,3.5,0.23199554069119288
BR34AUN,BR,Piata Universitatii,Seara,15:30-19:00,25,4,3.5,0.7102564102564102
BV999OSU,BV,Arcul de Triumf,Dimineata,06:30-09:30,15,1,2.5,0.3620958751393534
BV999OSU,BV,Arcul de Triumf,Pranz,12:00-14:00,2,1,2.5,0.07948717948717948
BV999OSU,BV,Arcul de Triumf,Seara,15:30-19:00,22,1,2.5,0.5142697881828316
BV999OSU,BV,Piata Romana,Dimineata,06:30-09:30,11,1,2.5,0.275139353400223
BV999OSU,BV,Piata Romana,Pranz,12:00-14:00,3,1,2.5,0.1012263099219621
BV999OSU,BV,Piata Romana,Seara,15:30-19:00,20,1,2.5,0.47079152731326646
BV999OSU,BV,Piata Unirii,Dimineata,06:30-09:30,15,1,2.5,0.3620958751393534
BV999OSU,BV,Piata Unirii,Pranz,12:00-14:00,3,1,2.5,0.1012263099219621
BV999OSU,BV,Piata Unirii,Seara,15:30-19:00,18,1,2.5,0.4273132664437012
BV999OSU,BV,Piata Universitatii,Dimineata,06:30-09:30,5,1,2.5,0.14470457079152732
BV999OSU,BV,Piata Universitatii,Pranz,12:00-14:00,3,1,2.5,0.1012263099219621
BV999OSU,BV,Piata Universitatii,Seara,15:30-19:00,25,1,2.5,0.5794871794871794
BV09LAC,BV,Arcul de Triumf,Dimineata,06:30-09:30,15,4,2.5,0.4620958751393534
BV09LAC,BV,Arcul de Triumf,Pranz,12:00-14:00,2,4,2.5,0.1794871794871795
BV09LAC,BV,Arcul de Triumf,Seara,15:30-19:00,22,4,2.5,0.6142697881828316
BV09LAC,BV,Piata Romana,Dimineata,06:30-09:30,11,4,2.5,0.375139353400223
BV09LAC,BV,Piata Romana,Pranz,12:00-14:00,3,4,2.5,0.2012263099219621
BV09LAC,BV,Piata Romana,Seara,15:30-19:00,20,4,2.5,0.5707915273132664
BV09LAC,BV,Piata Unirii,Dimineata,06:30-09:30,15,4,2.5,0.4620958751393534
BV09LAC,BV,Piata Unirii,Pranz,12:00-14:00,3,4,2.5,0.2012263099219621
BV09LAC,BV,Piata Unirii,Seara,15:30-19:00,18,4,2.5,0.5273132664437012
BV09LAC,BV,Piata Universitatii,Dimineata,06:30-09:30,5,4,2.5,0.2447045707915273
BV09LAC,BV,Piata Universitatii,Pranz,12:00-14:00,3,4,2.5,0.2012263099219621
BV09LAC,BV,Piata Universitatii,Seara,15:30-19:00,25,4,2.5,0.6794871794871795
BZ678HOG,BZ,Arcul de Triumf,Dimineata,06:30-09:30,15,2,4.5,0.45696767001114824
BZ678HOG,BZ,Arcul de Triumf,Pranz,12:00-14:00,2,2,4.5,0.17435897435897435
BZ678HOG,BZ,Arcul de Triumf,Seara,15:30-19:00,22,2,4.5,0.6091415830546265
BZ678HOG,BZ,Piata Romana,Dimineata,06:30-09:30,11,2,4.5,0.37001114827201786
BZ678HOG,BZ,Piata Romana,Pranz,12:00-14:00,3,2,4.5,0.19609810479375697
BZ678HOG,BZ,Piata Romana,Seara,15:30-19:00,20,2,4.5,0.5656633221850613
BZ678HOG,BZ,Piata Unirii,Dimineata,06:30-09:30,15,2,4.5,0.45696767001114824
BZ678HOG,BZ,Piata Unirii,Pranz,12:00-14:00,3,2,4.5,0.19609810479375697
BZ678HOG,BZ,Piata Unirii,Seara,15:30-19:00,18,2,4.5,0.5221850613154961
BZ678HOG,BZ,Piata Universitatii,Dimineata,06:30-09:30,5,2,4.5,0.2395763656633222
BZ678HOG,BZ,Piata Universitatii,Pranz,12:00-14:00,3,2,4.5,0.19609810479375697
BZ678HOG,BZ,Piata Universitatii,Seara,15:30-19:00,25,2,4.5,0.6743589743589744
BZ876MRG,BZ,Arcul de Triumf,Dimineata,06:30-09:30,15,7,4.5,0.623634336677815
BZ876MRG,BZ,Arcul de Triumf,Pranz,12:00-14:00,2,7,4.5,0.34102564102564104
BZ876MRG,BZ,Arcul de Triumf,Seara,15:30-19:00,22,7,4.5,0.7758082497212933
BZ876MRG,BZ,Piata Romana,Dimineata,06:30-09:30,11,7,4.5,0.5366778149386846
BZ876MRG,BZ,Piata Romana,Pranz,12:00-14:00,3,7,4.5,0.36276477146042363
BZ876MRG,BZ,Piata Romana,Seara,15:30-19:00,20,7,4.5,0.7323299888517281
BZ876MRG,BZ,Piata Unirii,Dimineata,06:30-09:30,15,7,4.5,0.623634336677815
BZ876MRG,BZ,Piata Unirii,Pranz,12:00-14:00,3,7,4.5,0.36276477146042363
BZ876MRG,BZ,Piata Unirii,Seara,15:30-19:00,18,7,4.5,0.6888517279821629
BZ876MRG,BZ,Piata Universitatii,Dimineata,06:30-09:30,5,7,4.5,0.4062430323299889
BZ876MRG,BZ,Piata Universitatii,Pranz,12:00-14:00,3,7,4.5,0.36276477146042363
